layer,unit,description
layer1,28,Horizontal lines
layer1,29,Dots on the corners
layer1,30,Vertical lines
layer1,31,White dots outlining objects
layer1,32,Vertical lines
layer1,33,The area above a object
layer1,34,Red objects
layer1,35,Dots on the corners
layer1,36,Dots outlining objects
layer1,37,Vertical lines
layer1,38,Red and white colored objects
layer1,39,Vertical lines
layer1,40,White dots outlining objects
layer1,41,Horizontal lines
layer1,42,Aquarium scenes
layer1,43,Vertical lines
layer1,44,White dots outlining objects
layer1,45,Purple and blue objects
layer1,46,Black and white stripes
layer1,47,Black and white colored objects
layer1,48,Horizontal lines
layer1,49,Diagonal lines
layer1,50,Dots on the right side
layer1,51,Blue objects
layer1,52,Black and white stripes
layer1,53,The area under a line
layer1,54,Dots on the corners
layer1,55,Red and white colored objects
layer1,56,Dots on the corners
layer1,57,Dots on the corners
layer1,58,Words and grids
layer1,59,Yellow objects
layer1,60,White dots outlining objects
layer1,61,Vertical lines
layer1,62,Red and white colored objects
layer1,63,The top boundary of horizontal objects
layer2,0,People 's faces
layer2,1,Diagonal lines
layer2,2,The tops of buildings
layer2,3,Top of a building
layer2,4,Vertical lines
layer2,5,Fluorescent green objects
layer2,6,Green dots
layer2,7,Horizontal lines
layer2,8,Colorful dots
layer2,9,Spots of the color white
layer2,10,Edges
layer2,11,Vertical lines
layer2,12,Dots on the corners
layer2,13,Diagonal lines
layer2,14,Green colored objects
layer2,15,The tops of trees
layer2,16,Vertical lines
layer2,17,The color of the picture
layer2,18,The bottom of circles
layer2,19,Red and yellow dots
layer2,20,The sky
layer2,21,Dots on the corners
layer2,22,Horizontal lines
layer2,23,Circular objects
layer2,24,Lights and the sky
layer2,25,Dots on the corners of objects
layer2,26,Horizontal lines
layer2,27,Orange and red objects
layer2,28,Dots on the corners
layer2,29,Spots of the color white
layer2,30,Red and white dots
layer2,31,Spots of the color white
layer2,32,Vertical lines
layer2,33,Dots on the corners
layer2,34,Horizontal lines
layer2,35,Purple and blue objects
layer2,36,Red and yellow objects
layer2,37,The top of circular objects
layer2,38,Horizontal lines
layer2,39,Circular objects
layer2,40,The corners
layer2,41,Dots on the corners
layer2,42,Spots of the color white
layer2,43,Bright lights
layer2,44,The area above a object
layer2,45,Circular objects
layer2,46,Dots on the corners
layer2,47,Colorful dots
layer2,48,Vertical lines
layer2,49,Dots on the corners
layer2,50,Small green dots
layer2,51,Blue dots
layer2,52,Dots on the corners of objects
layer2,53,Vertical lines
layer2,54,Horizontal lines
layer2,55,African animals
layer2,56,Dots on the corners
layer2,57,Green colored objects
layer2,58,Blue dots
layer2,59,Dots on the corners
layer2,60,Green colored objects
layer2,61,The floor
layer2,62,The tops of peaks
layer2,63,Dots on the corners
layer2,64,The middle of bulbous forms
layer2,65,Black and white stripes
layer2,66,Horizontal lines
layer2,67,Horizontal lines
layer2,68,Dots on the corners
layer2,69,Arches and circles
layer2,70,Horizontal lines
layer2,71,The area under a line
layer2,72,The sky
layer2,73,Yellow and blue colored objects
layer2,74,Black and white colored objects
layer2,75,Horizontal lines
layer2,76,Diagonal lines
layer2,77,The right side
layer2,78,Horizontal lines
layer2,79,Signs and grids
layer2,80,Green colored objects
layer2,81,Dots on lights
layer2,82,Horizontal lines
layer2,83,Top of a building
layer2,84,The sky
layer2,85,Blue dots
layer2,86,Diagonal lines
layer2,87,Vertical lines
layer2,88,Dots on the corners
layer2,89,The color yellow and orange
layer2,90,Diagonal lines
layer2,91,Circular objects
layer2,92,Blue dots on everyday objects
layer2,93,Horizontal lines
layer2,94,Blue dots
layer2,95,Dots on the corners
layer2,96,Horizontal lines
layer2,97,The left side of the object
layer2,98,Dots on curved objects
layer2,99,Red dots
layer2,100,People 's faces
layer2,101,Red and white colored objects
layer2,102,Vertical lines
layer2,103,Circular objects
layer2,104,Horizontal lines
layer2,105,Red dots
layer2,106,Red dots
layer2,107,Fluorescent blue and purples
layer2,108,Vertical lines
layer2,109,Dots on the corners
layer2,110,Dots on the corners
layer2,111,People
layer2,112,Green colored objects
layer2,113,Green areas in picture
layer2,114,Blue dots on everyday objects
layer2,115,Orange and yellow objects
layer2,116,White dots outlining objects
layer2,117,Vertical lines
layer2,118,Vertical lines
layer2,119,Athletes
layer2,120,Dots on the corners
layer2,121,Dots on yellow objects
layer2,122,Dots on the corners
layer2,123,White dots outlining objects
layer2,124,Arches
layer2,125,Vertical lines
layer2,126,Horizontal lines
layer2,127,Horizontal lines
layer3,0,Lights
layer3,1,Circular objects
layer3,2,Buildings
layer3,3,The corners of objects
layer3,4,Old seaside town
layer3,5,Diagonal lines
layer3,6,Circular objects
layer3,7,Faces of human beings
layer3,8,Faces
layer3,9,Animal legs
layer3,10,The ground
layer3,11,Plants
layer3,12,People
layer3,13,The floor
layer3,14,The corners
layer3,15,Pools
layer3,16,Buildings
layer3,17,Wheel of vehicles
layer3,18,The floor
layer3,19,Bright yellow colored objects
layer3,20,Food and shelving
layer3,21,Buildings and people
layer3,22,White colored objects
layer3,23,Circular objects
layer3,24,Vertical lines
layer3,25,Red and white objects
layer3,26,Black and white colored objects
layer3,27,The corners of rectangular objects
layer3,28,Poles
layer3,29,The corners
layer3,30,Balls
layer3,31,Grass
layer3,32,The ground
layer3,33,Circular objects
layer3,34,Chairs
layer3,35,Poles and legs
layer3,36,Old seaside town
layer3,37,The ground
layer3,38,Furniture
layer3,39,Red objects
layer3,40,The sky
layer3,41,The ground
layer3,42,Water
layer3,43,Grass fields
layer3,44,Green grass
layer3,45,Circular objects
layer3,46,A table
layer3,47,Trees
layer3,48,Faces of human beings
layer3,49,Vertical lines
layer3,50,Diagonal lines
layer3,51,Windows
layer3,52,The tops of buildings
layer3,53,The top of buildings
layer3,54,Sign boards with text in it
layer3,55,The corners of objects
layer3,56,Doors
layer3,57,Water
layer3,58,Sports fields
layer3,59,Buildings
layer3,60,Buildings
layer3,61,Vertical lines
layer3,62,The ground
layer3,63,Lights coming from artificial sources
layer3,64,Old seaside town
layer3,65,Trees
layer3,66,The sky
layer3,67,People
layer3,68,Towers
layer3,69,Diagonal lines
layer3,70,Black and white colored objects
layer3,71,Vertical lines
layer3,72,Lights coming from artificial sources
layer3,73,Yellow objects
layer3,74,Sign boards with text in it
layer3,75,Vertical lines
layer3,76,Vertical lines
layer3,77,Blue objects
layer3,78,Car wheels
layer3,79,Red objects
layer3,80,Buildings
layer3,81,The ground
layer3,82,Red and white colored objects
layer3,83,Blue colored objects
layer3,84,Top of a building
layer3,85,Diagonal lines
layer3,86,People
layer3,87,Poles
layer3,88,A chair sits in a bedroom
layer3,89,People 's heads
layer3,90,The ground
layer3,91,The ground
layer3,92,The left side of the object
layer3,93,Trees
layer3,94,Circular objects
layer3,95,White colored objects
layer3,96,White colored objects
layer3,97,Circular objects
layer3,98,A table
layer3,99,Green colored objects
layer3,100,Grass
layer3,101,The ceiling
layer3,102,Roofs
layer3,103,Windmills and propellers
layer3,104,White colored objects
layer3,105,The ground
layer3,106,Furniture
layer3,107,Striped objects
layer3,108,Diagonal lines
layer3,109,Signs
layer3,110,Vertical lines
layer3,111,The sky
layer3,112,A windmill in the distance
layer3,113,The ground
layer3,114,Signs
layer3,115,Buildings
layer3,116,The ground
layer3,117,The ground
layer3,118,Vertical lines
layer3,119,The sky
layer3,120,Circular objects
layer3,121,Arches and arches
layer3,122,Diagonal lines
layer3,123,The ceiling
layer3,124,The ground
layer3,125,Animal legs
layer3,126,Food
layer3,127,Circular objects
layer3,128,The corners of buildings
layer3,129,Roofs
layer3,130,Vehicles
layer3,131,Arches and arches
layer3,132,Words
layer3,133,Windows
layer3,134,Diagonal lines
layer3,135,Red objects
layer3,136,Red and white objects
layer3,137,Purple and blue objects
layer3,138,Legs and legs
layer3,139,The ground
layer3,140,Vehicles
layer3,141,People
layer3,142,The sky
layer3,143,Pools
layer3,144,Areas on the sides of items
layer3,145,Tables
layer3,146,The corners
layer3,147,Signs
layer3,148,People
layer3,149,The ground
layer3,150,Green colored objects
layer3,151,Red and white colored objects
layer3,152,A ball pit
layer3,153,The ceilings
layer3,154,The background
layer3,155,Books and bookshelves
layer3,156,The floor
layer3,157,Circular objects
layer3,158,Diagonal lines
layer3,159,Windows
layer3,160,Faces of human beings
layer3,161,Red objects
layer3,162,Roads
layer3,163,White colored objects
layer3,164,The corners
layer3,165,Horizontal lines
layer3,166,The ground
layer3,167,Blue colored objects
layer3,168,Horizontal lines
layer3,169,Vertical lines
layer3,170,Electronics
layer3,171,Diagonal lines
layer3,172,Buildings
layer3,173,The ground
layer3,174,Vertical lines
layer3,175,Furniture
layer3,176,Old buildings
layer3,177,People
layer3,178,The sky
layer3,179,Poles
layer3,180,Windows
layer3,181,Diagonal lines
layer3,182,Circular objects
layer3,183,Green objects
layer3,184,The sky
layer3,185,Red and white colored objects
layer3,186,Windmills and propellers
layer3,187,The tops of towers
layer3,188,Circular objects
layer3,189,Pink colored objects
layer3,190,Green colored object with stripes
layer3,191,The ground
layer3,192,Red and white colored objects
layer3,193,Red and yellow objects
layer3,194,White colored objects
layer3,195,Landscapes
layer3,196,People and trees
layer3,197,Grass
layer3,198,Red and white objects
layer3,199,Old seaside town
layer3,200,Diagonal lines
layer3,201,The top of circular objects
layer3,202,Doors
layer3,203,The ground
layer3,204,Stripes
layer3,205,Red and white colored objects
layer3,206,Green and brown colored objects
layer3,207,Shelving
layer3,208,Waterfalls and water
layer3,209,Striped objects
layer3,210,White colored objects
layer3,211,Circular objects
layer3,212,The ground
layer3,213,Vertical lines
layer3,214,Circular objects
layer3,215,The ground
layer3,216,The sky
layer3,217,The top part of rectangular objects
layer3,218,Vertical lines
layer3,219,Buildings
layer3,220,Red and white colored objects
layer3,221,Black and white colored objects
layer3,222,The tops of buildings and trees
layer3,223,The top of buildings
layer3,224,Circular objects
layer3,225,Circular objects
layer3,226,Sunsets
layer3,227,Lights
layer3,228,Yellow and red objects
layer3,229,The sky
layer3,230,Windows
layer3,231,Lighthouses and towers
layer3,232,Circular objects
layer3,233,People
layer3,234,Red and purple objects
layer3,235,Diagonal lines
layer3,236,The sky
layer3,237,Faces
layer3,238,Circular objects
layer3,239,Water towers
layer3,240,Red and white objects
layer3,241,Circular objects
layer3,242,Faces
layer3,243,The ground
layer3,244,The top of a building
layer3,245,The corners
layer3,246,Blue objects
layer3,247,A birthday cake
layer3,248,Arches
layer3,249,Tree branches without leaves
layer3,250,Checkered objects
layer3,251,Grass and other plants
layer3,252,Diagonal lines
layer3,253,Buildings
layer3,254,Diagonal lines
layer3,255,Circular objects
layer4,0,Counters
layer4,1,Shelves and books
layer4,2,Water
layer4,3,Green colored objects
layer4,4,Buildings
layer4,5,Counters
layer4,6,Mountain shaped objects
layer4,7,Grass
layer4,8,Plants
layer4,9,Green objects
layer4,10,Volcanoes and eruptions
layer4,11,People
layer4,12,Buildings
layer4,13,Mountain ranges and water
layer4,14,Fencing
layer4,15,People
layer4,16,A windmill
layer4,17,Chairs
layer4,18,Mountains and valleys
layer4,19,Food
layer4,20,Buildings
layer4,21,Buildings
layer4,22,Bridges and cliffs
layer4,23,Rectangular objects
layer4,24,Arches
layer4,25,Wooden furniture
layer4,26,Arches are clearly visible
layer4,27,Waterfalls
layer4,28,Buildings
layer4,29,Buildings
layer4,30,Vertical lines
layer4,31,Black and white colored objects
layer4,32,Red telephone booths
layer4,33,Mountains and valleys
layer4,34,Furniture
layer4,35,The ground
layer4,36,Water tower
layer4,37,People in the sky
layer4,38,Planes and flags
layer4,39,Pools
layer4,40,People and windows
layer4,41,People and food
layer4,42,Beds
layer4,43,People and vehicles
layer4,44,The ground
layer4,45,Houses and older houses
layer4,46,Circular objects
layer4,47,The ground
layer4,48,Sink in a bedroom
layer4,49,Chairs
layer4,50,Buildings
layer4,51,Counters and cabinets
layer4,52,Green grass
layer4,53,Stairs
layer4,54,Windows
layer4,55,Stone buildings
layer4,56,Signs
layer4,57,The ground
layer4,58,Red telephone booths
layer4,59,Vehicles and planes
layer4,60,People
layer4,61,A rock formation in the distance
layer4,62,Landscapes
layer4,63,People
layer4,64,Pools
layer4,65,Buildings
layer4,66,Windows
layer4,67,Green grass
layer4,68,People
layer4,69,Red telephone booths
layer4,70,Pink colored objects
layer4,71,Buildings
layer4,72,Nature
layer4,73,Volcanoes and eruptions
layer4,74,Buildings
layer4,75,Fencing
layer4,76,Circular objects
layer4,77,"Train going down a track, a train going down the tracks"
layer4,78,Plants
layer4,79,Shelving
layer4,80,Towers
layer4,81,Buildings
layer4,82,Green colored objects
layer4,83,Tables and chairs
layer4,84,Bridges
layer4,85,Buildings
layer4,86,People
layer4,87,Walkways
layer4,88,Water fountains
layer4,89,Water and mountains
layer4,90,Stairs
layer4,91,The ground
layer4,92,Bridges and arches
layer4,93,The ground
layer4,94,Green grass
layer4,95,"Person, food"
layer4,96,The ground
layer4,97,Faces of human beings
layer4,98,Arched entry way
layer4,99,Arches
layer4,100,People
layer4,101,Vertical lines
layer4,102,Windows
layer4,103,Horizontal lines
layer4,104,Water
layer4,105,Cliffs and cliffs
layer4,106,People
layer4,107,Red and white colored objects
layer4,108,Green objects
layer4,109,Walls
layer4,110,Plants
layer4,111,Green grass
layer4,112,Furniture
layer4,113,Diagonal lines
layer4,114,Vehicles and planes
layer4,115,Aquatic life
layer4,116,Trees
layer4,117,Lights
layer4,118,Tall buildings
layer4,119,Walkways
layer4,120,Red telephone booths
layer4,121,Trees
layer4,122,The ground
layer4,123,A motel sign
layer4,124,A table and chairs
layer4,125,Bottles and cups
layer4,126,Bookcases
layer4,127,Bookcases
layer4,128,Nature
layer4,129,A mountain in the distance
layer4,130,Words and signs
layer4,131,Lights
layer4,132,Sports fields
layer4,133,A sink full of water
layer4,134,Flowers
layer4,135,Rows of chairs
layer4,136,Water towers
layer4,137,Circular objects
layer4,138,"Buildings, doors, and windows"
layer4,139,Windmills
layer4,140,Vertical lines
layer4,141,Furniture
layer4,142,Buildings
layer4,143,"People, structure"
layer4,144,Sports shirts
layer4,145,Red telephone booths
layer4,146,Areas with straight features
layer4,147,Lighthouses
layer4,148,A motel sign
layer4,149,Arches
layer4,150,Buildings and people
layer4,151,Arches
layer4,152,The ground
layer4,153,Garage doors
layer4,154,Volcanoes and mountains
layer4,155,Bales of hay
layer4,156,Counters and medical personal
layer4,157,Tables
layer4,158,Buildings
layer4,159,Poles
layer4,160,Sports stadiums
layer4,161,Signs
layer4,162,Red and yellow objects
layer4,163,The ceiling
layer4,164,Mountain ranges and water
layer4,165,Garage doors
layer4,166,People eating food
layer4,167,Train track and train tracks
layer4,168,Faces of human beings
layer4,169,Buildings
layer4,170,Cars and planes
layer4,171,Buildings
layer4,172,Buildings and people
layer4,173,Shelving and clothes
layer4,174,Athletes
layer4,175,A tent in the snow
layer4,176,"People, structure, grass"
layer4,177,Bodies of water
layer4,178,Bridges and gazebos
layer4,179,Red objects
layer4,180,Flowers in the plants
layer4,181,Buildings and trees
layer4,182,"People, animals"
layer4,183,Floral patterns
layer4,184,Animal legs
layer4,185,People
layer4,186,Asian style roofs
layer4,187,Old seaside town
layer4,188,Red objects
layer4,189,Buildings
layer4,190,Buildings
layer4,191,Buildings
layer4,192,Towers
layer4,193,Arches
layer4,194,Faces of human beings
layer4,195,Old seaside town
layer4,196,A house in the distance
layer4,197,The ceiling
layer4,198,Buildings and poles
layer4,199,A rock formation in the distance
layer4,200,People
layer4,201,Buildings
layer4,202,Windows and screens
layer4,203,Stairs
layer4,204,The ground
layer4,205,Areas on the sides of items
layer4,206,Arches
layer4,207,Books and bookshelves
layer4,208,People
layer4,209,Windows
layer4,210,Computer screens on a computer
layer4,211,Athletes playing sports
layer4,212,The tops of objects
layer4,213,Buildings
layer4,214,Lights
layer4,215,Buildings
layer4,216,Faces
layer4,217,Diagonal lines
layer4,218,"Plane, plane, helicopter, plane"
layer4,219,Roads
layer4,220,An object with killers
layer4,221,Green grass
layer4,222,Houses and barns
layer4,223,Old seaside town
layer4,224,Buildings
layer4,225,Furniture and doors
layer4,226,People and dirt
layer4,227,A water tower in the distance
layer4,228,Windows
layer4,229,Blue colored objects
layer4,230,Green colored objects
layer4,231,Sports fields
layer4,232,Buildings
layer4,233,Arches
layer4,234,People
layer4,235,Grass
layer4,236,The tops of buildings
layer4,237,Nature
layer4,238,Animal legs
layer4,239,Buildings and rock formations
layer4,240,The ground
layer4,241,The ground
layer4,242,Red telephone booths
layer4,243,People
layer4,244,Water
layer4,245,Buildings
layer4,246,Vehicles and planes
layer4,247,Beds
layer4,248,"Person, animal"
layer4,249,Red telephone booths
layer4,250,Buildings
layer4,251,Windmills
layer4,252,Red and white colored objects
layer4,253,Circular objects
layer4,254,Athletes
layer4,255,Arches
layer4,256,Buses
layer4,257,Windows
layer4,258,Areas on the sides of items
layer4,259,Food
layer4,260,Rounded edges in pictures
layer4,261,Lights
layer4,262,The ground
layer4,263,Buildings
layer4,264,Buildings and people
layer4,265,Rooms
layer4,266,Vehicles
layer4,267,Buildings
layer4,268,Buses and buildings
layer4,269,Vertical lines
layer4,270,The ground
layer4,271,Blue objects
layer4,272,Bridges
layer4,273,People
layer4,274,Trees and grass
layer4,275,The ground
layer4,276,Green grass
layer4,277,The ground
layer4,278,Plants
layer4,279,Nature
layer4,280,Walkways
layer4,281,"People, food"
layer4,282,Buildings
layer4,283,A table
layer4,284,Circular objects
layer4,285,Buildings
layer4,286,Plants
layer4,287,Rock formations
layer4,288,People eating food
layer4,289,Volcanoes and mountains
layer4,290,Buildings
layer4,291,Dog heads
layer4,292,Shelves and shelving
layer4,293,Garage doors
layer4,294,Buildings
layer4,295,Faces of human beings
layer4,296,Buildings
layer4,297,Grass and walkways
layer4,298,Wooden furniture
layer4,299,Diagonal lines
layer4,300,Buildings and signs
layer4,301,Buildings
layer4,302,Water and mountains
layer4,303,Circular objects
layer4,304,Waterfalls and mountains
layer4,305,Windmills
layer4,306,Buildings
layer4,307,Bridges
layer4,308,Circular objects
layer4,309,Windows
layer4,310,White sinks and bowls
layer4,311,Buildings
layer4,312,Green grass
layer4,313,Windmills
layer4,314,Towers
layer4,315,Roads
layer4,316,A water tower in the distance
layer4,317,The bottom of monitors
layer4,318,Counters and washing machines
layer4,319,The tops of buildings
layer4,320,Buildings
layer4,321,Balls
layer4,322,Garage doors
layer4,323,Sports athletes
layer4,324,People
layer4,325,Furniture
layer4,326,Nature
layer4,327,Plants
layer4,328,Pools
layer4,329,People
layer4,330,People
layer4,331,Vertical line pattern on objects
layer4,332,Nature
layer4,333,Buildings
layer4,334,Green grass
layer4,335,"People, animals"
layer4,336,Water
layer4,337,People
layer4,338,Ice
layer4,339,Pools and pools
layer4,340,The ocean
layer4,341,Yellow objects
layer4,342,Trees
layer4,343,People
layer4,344,Diagonal lines
layer4,345,Food and shelving
layer4,346,Nature
layer4,347,Mountains and valleys
layer4,348,Green and brown colored objects
layer4,349,Pink colored objects
layer4,350,Furniture
layer4,351,Heads of people
layer4,352,Buildings
layer4,353,A bed in a bedroom
layer4,354,Trees
layer4,355,Counters and medical personal
layer4,356,The ground
layer4,357,Lights
layer4,358,Signs and pools
layer4,359,The ground
layer4,360,Windows and crowds
layer4,361,People
layer4,362,Blue colored objects
layer4,363,Nature
layer4,364,Windows
layer4,365,People
layer4,366,Signs and windows
layer4,367,Hallways
layer4,368,Windmills
layer4,369,Vertical lines
layer4,370,Purple lights
layer4,371,Circular objects
layer4,372,Sports stadiums
layer4,373,Painting on a wall
layer4,374,Sports stadiums
layer4,375,Ice cream
layer4,376,Train aisles
layer4,377,Vertical line pattern on objects
layer4,378,Arches and arches
layer4,379,A chair sits on a table
layer4,380,A tent in the snow
layer4,381,A house in the distance
layer4,382,Beds
layer4,383,Wheels of vehicles
layer4,384,Closets
layer4,385,Buses
layer4,386,Buildings
layer4,387,Buildings
layer4,388,Chairs
layer4,389,Towers
layer4,390,A windmill in the distance
layer4,391,"People, structure, grass"
layer4,392,The ocean
layer4,393,White objects
layer4,394,A tent in the distance
layer4,395,Windows
layer4,396,People
layer4,397,Windows
layer4,398,Diagonal lines
layer4,399,Plants
layer4,400,Rooms
layer4,401,Buildings
layer4,402,Train tracks and other parallel lines
layer4,403,The ground
layer4,404,Buildings
layer4,405,Red objects
layer4,406,The ground
layer4,407,Circular objects
layer4,408,Rooms
layer4,409,People
layer4,410,Trees
layer4,411,"A bed in a room, a bed in a bedroom"
layer4,412,Circular objects
layer4,413,Towers
layer4,414,People
layer4,415,The top of buildings
layer4,416,The ocean
layer4,417,Food
layer4,418,Furniture
layer4,419,Furniture
layer4,420,Furniture
layer4,421,Windows
layer4,422,The ground
layer4,423,Helicopter taking off
layer4,424,Poles
layer4,425,Garage doors
layer4,426,Food and shelving
layer4,427,Vehicles and planes
layer4,428,Items with designs
layer4,429,A tent in the snow
layer4,430,Heads of peoples
layer4,431,People
layer4,432,Rooms
layer4,433,Crowds
layer4,434,Diagonal lines
layer4,435,Pink and purple objects
layer4,436,People and chairs
layer4,437,Airplanes
layer4,438,Lights
layer4,439,Food and shelving
layer4,440,Cloudy skies
layer4,441,Cars and planes
layer4,442,The tops of buildings
layer4,443,A water tower in the distance
layer4,444,Cars and planes
layer4,445,Pools
layer4,446,Red colored object with text
layer4,447,Buildings and water
layer4,448,Trees and grass
layer4,449,Walkways
layer4,450,Windmills
layer4,451,Trees and snow
layer4,452,Nature
layer4,453,Vehicles
layer4,454,Trees
layer4,455,Buildings
layer4,456,Circular objects
layer4,457,Arches
layer4,458,Bridges and gazebos
layer4,459,Bridges and gazebos
layer4,460,The ground
layer4,461,Doors
layer4,462,Ice and snow
layer4,463,The ground
layer4,464,The ground
layer4,465,Green grass
layer4,466,Buildings and people
layer4,467,Pools
layer4,468,Diagonal lines
layer4,469,Diagonal lines
layer4,470,People
layer4,471,Staircases
layer4,472,Ice cream
layer4,473,Furniture
layer4,474,Walls
layer4,475,Buildings and rock formations
layer4,476,Furniture
layer4,477,Buildings
layer4,478,Windows
layer4,479,Windows
layer4,480,Buildings
layer4,481,Green grass
layer4,482,Head of people
layer4,483,Water
layer4,484,Diagonal lines
layer4,485,Buildings
layer4,486,Pools and sinks
layer4,487,Crowds
layer4,488,Arches
layer4,489,Food
layer4,490,The floor
layer4,491,Oil derek
layer4,492,Arches
layer4,493,Animals
layer4,494,Diagonal lines
layer4,495,Furniture
layer4,496,Balls and mma fighters
layer4,497,Vehicles
layer4,498,Buildings
layer4,499,A bed in a bedroom
layer4,500,Columns
layer4,501,Circular objects
layer4,502,"A bookshelf behind a man, books behind a man"
layer4,503,Volcanoes and eruptions
layer4,504,People
layer4,505,Reflective surfaces
layer4,506,"Windows, people, painting"
layer4,507,People
layer4,508,Windows and screens
layer4,509,Vehicles
layer4,510,Bridges
layer4,511,Buildings
