layer,unit,description
fc,139,Birds
fc,140,Birds
fc,141,Bird legs
fc,142,Birds
fc,143,Birds
fc,144,Birds
fc,145,"Penguin, animal"
fc,146,Birds
fc,147,Water
fc,148,Water
fc,149,Nature
fc,150,Animals in the water
fc,151,Dog ears
fc,152,Dogs and other animals
fc,153,Animals
fc,154,Dogs and other animals
fc,155,Animals
fc,156,Dogs and other animals
fc,157,Dogs
fc,158,Animal
fc,159,Dogs
fc,160,Animals
fc,161,Dog ears
fc,162,Dogs and other animals
fc,163,Animals
fc,164,Dogs and other animals
fc,165,Animals
fc,166,Dogs and other animals
fc,167,Dogs and other animals
fc,168,Brown dogs
fc,169,Dogs
fc,170,Animals
fc,171,Dog ears
fc,172,Animal
fc,173,Legs of animals
fc,174,Animals
fc,175,Dog faces
fc,176,Dog legs
fc,177,Animals
fc,178,Animal
fc,179,Animal
fc,180,Animal
fc,181,Animals
fc,182,Animals
fc,183,Dogs
fc,184,Brown dogs
fc,185,Animals
fc,186,Faces of animals
fc,187,Animal
fc,188,Dogs
fc,189,Animals
fc,190,Dogs
fc,191,Animals
fc,192,Animals
fc,193,Dogs
fc,194,Dog faces
fc,195,Dog ears
fc,196,Dog ears
fc,197,Dogs
fc,198,Dogs
fc,199,Animals
fc,200,Dog 's face
fc,201,Animal
fc,202,Dogs
fc,203,Animal
fc,204,"Dog 's face, food"
fc,205,Animals
fc,206,Animals
fc,207,Dog faces
fc,208,Animal
fc,209,Animals
fc,210,Dogs
fc,211,Brown dogs
fc,212,Animals
fc,213,Brown dogs
fc,214,Dogs
fc,215,Dogs
fc,216,Dogs
fc,217,Dogs
fc,218,Dogs
fc,219,Dog faces
fc,220,Animals
fc,221,Animals
fc,222,Dogs and other animals
fc,223,Dog ears
fc,224,Animals
fc,225,Ears of animals
fc,226,Dogs
fc,227,Dog ears
fc,228,Fur of animals
fc,229,Dog 's face
fc,230,Dogs and other animals
fc,231,Animal
fc,232,Dogs
fc,233,Animals
fc,234,Animals
fc,235,Animal
fc,236,Animal
fc,237,Dog ears
fc,238,Animal
fc,239,Dogs and other animals
fc,240,Faces of animals
fc,241,Dog heads
fc,242,Animal
fc,243,Animal
fc,244,Dog faces
fc,245,Faces of animals
fc,246,Dogs
fc,247,Dogs and other animals
fc,248,Animal
fc,249,Dogs and other animals
fc,250,Animal
fc,251,Dog ears
fc,252,Animals
fc,253,Dog ears
fc,254,Dogs and other animals
fc,255,Dog legs
fc,256,Animals
fc,257,Dogs
fc,258,Animal
fc,259,Animals
fc,260,Animals
fc,261,Animals
fc,262,Dog ears
fc,263,Animal
fc,264,Animal
fc,265,Dog 's face
fc,266,Animals
fc,267,Animals
fc,268,Animals
fc,269,Animals
fc,270,Animal
fc,271,Animals
fc,272,Animals
fc,273,Animal
fc,274,Animals
fc,275,Animals
fc,276,Animals in the savannah
fc,277,Animals
fc,278,Animals
fc,279,Animal
fc,280,Animals
fc,281,Faces of animals
fc,282,Animal fur
fc,283,Animal
fc,284,Edges of objects
fc,285,Animal fur
fc,286,Animals
fc,287,Animal fur
fc,288,Animal fur
fc,289,Animals
fc,290,Animal fur
fc,291,Animal fur
fc,292,Animal fur
fc,293,Animal fur
fc,294,Animals
fc,295,Animals
fc,296,Animals
fc,297,Animals
fc,298,Animals in the grass
fc,299,Animals
fc,300,Insects
fc,301,Nature
fc,302,Nature
fc,303,Nature
fc,304,Green areas in picture
fc,305,Nature
fc,306,Edges of objects
fc,307,Nature
fc,308,Insects
fc,309,Flowers
fc,310,Insects
fc,311,Insects
fc,312,Insects
fc,313,Nature
fc,314,Nature
fc,315,Diagonal lines
fc,316,Insects and butterflies
fc,317,Nature
fc,318,Insects
fc,319,Grass and sticks
fc,320,Grass and sticks
fc,321,Butterflies and butterflies
fc,322,Butterflies and moths
fc,323,Flowers
fc,324,"Flowers, insects"
fc,325,"Flowers, fruit"
fc,326,Butterflies and butterflies
fc,327,Aquatic life
fc,328,Aquatic life
fc,329,Aquatic life
fc,330,Animals in the grass
fc,331,Animals
fc,332,Items with straight features
fc,333,Animals and food
fc,334,Animals
fc,335,Animals
fc,336,Nature
fc,337,Animals in the water
fc,338,Animals
fc,339,Animal legs
fc,340,Stripes
fc,341,Animals
fc,342,Animals
fc,343,Animals
fc,344,Animals in the water
fc,345,Ears of animals
fc,346,Items with straight features
fc,347,Animals
fc,348,Animals
fc,349,Animals
fc,350,Animals
fc,351,Bodies of animals
fc,352,Animal
fc,353,Animals
fc,354,Animals
fc,355,Animals
fc,356,Animals
fc,357,Animals
fc,358,Animals
fc,359,Animals
fc,360,Animals
fc,361,Animals
fc,362,Animals
fc,363,Animals
fc,364,Animals
fc,365,Animals
fc,366,Animals
fc,367,Animals
fc,368,Animals
fc,369,Animals
fc,370,Animals
fc,371,Animals
fc,372,Animals
fc,373,Animals
fc,374,Animals
fc,375,Animals
fc,376,Animals
fc,377,Animals
fc,378,Animals
fc,379,Green areas in picture
fc,380,Animals
fc,381,Animals
fc,382,Animals
fc,383,Animals
fc,384,Animals
fc,385,Nature
fc,386,Bodies of animals
fc,387,Animal fur
fc,388,Animals
fc,389,Bodies of water
fc,390,Aquatic life
fc,391,People and water
fc,392,Aquatic life
fc,393,Aquatic life
fc,394,Legs of people and animals
fc,395,Sharks
fc,396,Aquatic life
fc,397,Aquatic life
fc,398,Vertical lines
fc,399,People and clothing
fc,400,Faces of people
fc,401,Vertical lines
fc,402,Diagonal lines
fc,403,Water and planes
fc,404,The sky and planes
fc,405,Sky and planes and planes
fc,406,The inside of cathedrals
fc,407,Red colored objects
fc,408,Vehicles
fc,409,Circles
fc,410,Items with designs
fc,411,Clothing
fc,412,Rounded edges in pictures
fc,413,Items with straight features
fc,414,Edges of objects
fc,415,Food
fc,416,People
fc,417,"The sky, balls, and circular objects"
fc,418,Edges of objects
fc,419,Babies and white objects
fc,420,People
fc,421,Diagonal lines
fc,422,Curved lines
fc,423,Items with straight features
fc,424,Items with straight features
fc,425,The sky and roofs
fc,426,Clocks and circular objects
fc,427,Circular objects
fc,428,Rounded edges in pictures
fc,429,Balls
fc,430,Athletes
fc,431,Items with straight features
fc,432,Musical instruments
fc,433,The ocean
fc,434,Items with designs
fc,435,People and walls
fc,436,Vehicles
fc,437,The sky
fc,438,Bottles
fc,439,Faces of people
fc,440,Yellow and red objects
fc,441,Food
fc,442,The tops of buildings
fc,443,Items with designs
fc,444,Diagonal lines
fc,445,Body parts
fc,446,Edges of objects
fc,447,Edges of objects
fc,448,Diagonal lines
fc,449,Large bodies of water
fc,450,Vehicles
fc,451,Items with straight features
fc,452,Animals and fabric
fc,453,Bookcases
fc,454,Books
fc,455,Circular objects
fc,456,Diagonal lines
fc,457,Bowties
fc,458,Items with designs
fc,459,White skin
fc,460,Nature
fc,461,Items with designs
fc,462,Drapes and pleats
fc,463,Rounded edges in pictures
fc,464,Edges of objects
fc,465,A vest someone is wearing
fc,466,Train tracks
fc,467,Areas with red or brown hues
fc,468,Red colored objects
fc,469,Soup and food
fc,470,Fire
fc,471,Diagonal lines
fc,472,Water
fc,473,White backgrounds
fc,474,Clothing
fc,475,Nature
fc,476,Objects with red or brown hues
fc,477,Edges of objects
fc,478,Rectangular objects
fc,479,Car wheels
fc,480,Edges of objects
fc,481,Electronics
fc,482,Electronics
fc,483,Buildings
fc,484,Water
fc,485,Electronics
fc,486,Red colored objects
fc,487,Electronics
fc,488,Items with straight features
fc,489,Fences
fc,490,Items with designs
fc,491,Edges of objects
fc,492,Rectangular objects
fc,493,Furniture
fc,494,Circular objects
fc,495,Furniture and doors
fc,496,Red and white objects
fc,497,The tops of buildings
fc,498,Red and white colored objects
fc,499,Edges of objects
fc,500,Nature
fc,501,Clothing
fc,502,Edges of objects
fc,503,Circular objects
fc,504,Rounded edges in pictures
fc,505,Handles and mugs
fc,506,Stripes
fc,507,Metal objects
fc,508,Keyboards
fc,509,Food
fc,510,"Ships, water, airplanes"
fc,511,Cars
fc,512,Edges of objects
fc,513,Musical instruments
fc,514,Similar color patterns
fc,515,"Person, food"
fc,516,Items with straight features
fc,517,Nature
fc,518,Red colored objects
fc,519,Items with straight features
fc,520,Striped objects
fc,521,"Coffee maker, food"
fc,522,Balls
fc,523,Items with straight features
fc,524,Items with designs
fc,525,Nature
fc,526,Electronics
fc,527,Computer screens and a computer
fc,528,Circular objects and animals
fc,529,People
fc,530,Straight lines
fc,531,Electronics
fc,532,Furniture
fc,533,Fabric
fc,534,Items with straight features
fc,535,Circular objects
fc,536,Water
fc,537,Animals
fc,538,Domes
fc,539,Items with designs
fc,540,Water and windmills
fc,541,Edges of objects
fc,542,Areas with straight lines
fc,543,Circular objects
fc,544,Circular objects
fc,545,Circles
fc,546,Diagonal lines
fc,547,Trains and trains
fc,548,Furniture
fc,549,Edges of objects
fc,550,"Coffee cup, cup, cup"
fc,551,White areas
fc,552,Faces
fc,553,Regions with straight features
fc,554,"Ships, water, ships"
fc,555,Red colored objects
fc,556,Vertical line pattern on objects
fc,557,Blue skies
fc,558,Musical instruments
fc,559,Furniture
fc,560,Red and white objects
fc,561,Regions with straight features
fc,562,Waterfalls
fc,563,Edges of objects
fc,564,Beds
fc,565,Items with straight features
fc,566,Human hands and instruments
fc,567,Circular objects
fc,568,"People, animals"
fc,569,Vehicles
fc,570,Circular objects
fc,571,Rectangular objects
fc,572,Edges of objects
fc,573,Vehicles
fc,574,Round objects
fc,575,Vehicles
fc,576,Water
fc,577,Circular objects
fc,578,Dresses
fc,579,Diagonal lines
fc,580,Items with straight features
fc,581,Horizontal lines
fc,582,Food
fc,583,Items with straight features
fc,584,Red and white colored objects
fc,585,Bottles
fc,586,Vehicles
fc,587,Edges of objects
fc,588,Diagonal lines
fc,589,Edges of objects
fc,590,Electronics
fc,591,Items with designs
fc,592,Electronics
fc,593,Edges of objects
fc,594,Diagonal lines
fc,595,Diagonal lines
fc,596,Edges of objects
fc,597,Edges of objects
fc,598,The bottom of rectangular objects
fc,599,Items with designs
fc,600,Items with straight features
fc,601,Dresses
fc,602,People
fc,603,Animals and vehicles
fc,604,Rounded edges in pictures
fc,605,Edges of objects
fc,606,White areas
fc,607,Jack-o-lantern
fc,608,Clothing
fc,609,Vehicles
fc,610,Clothing
fc,611,Items with designs
fc,612,Diagonal lines
fc,613,The corners of objects
fc,614,"People, clothing"
fc,615,Areas of blue
fc,616,Edges of objects
fc,617,People
fc,618,Rounded edges in pictures
fc,619,Vertical line pattern on objects
fc,620,Electronics
fc,621,Grass and vehicles
fc,622,Circular areas
fc,623,Diagonal lines
fc,624,Bookcases
fc,625,Boats
fc,626,The color black
fc,627,Vehicles
fc,628,Nature
fc,629,Edges of objects
fc,630,Edges of objects
fc,631,White areas
fc,632,Edges of objects
fc,633,Circular objects
fc,634,Items with straight features
fc,635,Circular objects
fc,636,Edges of objects
fc,637,Red and white objects
fc,638,Body parts
fc,639,The color blue
fc,640,Manhole covers
fc,641,Brighter areas in objects
fc,642,Hands of people
fc,643,Faces
fc,644,The color orange
fc,645,Diagonal lines
fc,646,The ground
fc,647,Rounded edges in pictures
fc,648,Items with straight features
fc,649,Landscapes
fc,650,Specific patterns
fc,651,Furniture and electronics
fc,652,People
fc,653,Rounded edges in pictures
fc,654,Vehicles
fc,655,Clothing
fc,656,Vehicles
fc,657,Nature
fc,658,Pink carpet
fc,659,Rounded edges in pictures
fc,660,Items with straight features
fc,661,Car wheels
fc,662,Electronics
fc,663,Buildings
fc,664,Electronics
fc,665,Red colored objects
fc,666,Circular objects
fc,667,Faces of people
fc,668,Mosques
fc,669,Beds
fc,670,Red and white objects
fc,671,The ground
fc,672,Nature
fc,673,Electronics
fc,674,Items with straight features
fc,675,Regions with straight features
fc,676,Legs of animals
fc,677,Metal objects
fc,678,People
fc,679,Circular items
fc,680,White objects
fc,681,Electronics
fc,682,Buildings and towers
fc,683,Musical instruments
fc,684,Rounded edges in pictures
fc,685,Speedometer
fc,686,Circular objects
fc,687,Organs and arches ceilings
fc,688,Edges of objects
fc,689,Dresses
fc,690,Horses and bulls
fc,691,Babies and white objects
fc,692,Text and patterns
fc,693,Bodies of water
fc,694,Red objects
fc,695,Items with straight features
fc,696,Items with straight features
fc,697,Clothing
fc,698,Tall buildings
fc,699,Striped objects
fc,700,Rounded edges in pictures
fc,701,Blue skies
fc,702,People
fc,703,Green grass
fc,704,Rounded edges in pictures
fc,705,"Train, bus"
fc,706,Columns
fc,707,Edges of objects
fc,708,"Buildings, towers and the sky"
fc,709,Red and white objects
fc,710,Red and orange objects
fc,711,White areas
fc,712,Round edges on objects
fc,713,Furniture and electronics
fc,714,Spots
fc,715,"People, animals"
fc,716,Vertical lines
fc,717,Vehicles
fc,718,Bridges
fc,719,Rounded edges in pictures
fc,720,Rounded edges in pictures
fc,721,Items with designs
fc,722,Balls
fc,723,Stripes
fc,724,Ships
fc,725,Rounded edges in pictures
fc,726,Edges of objects
fc,727,Arches
fc,728,Items with designs
fc,729,Rounded edges in pictures
fc,730,Nature
fc,731,Rounded edges in pictures
fc,732,Edges of objects
fc,733,Vertical line pattern on objects
fc,734,Vehicles
fc,735,Fabric
fc,736,Circular objects
fc,737,Red and white objects
fc,738,Plants
fc,739,Rounded edges in pictures
fc,740,Edges of objects
fc,741,Items with designs
fc,742,Furniture and electronics
fc,743,Vertical line patterns
fc,744,Nature
fc,745,Edges of objects
fc,746,Sports fields and hockey ice
fc,747,Red and white objects
fc,748,Edges of objects
fc,749,Diagonal lines
fc,750,Furniture
fc,751,Vehicles
fc,752,The ground
fc,753,Vertical lines
fc,754,Electronics
fc,755,Nature
fc,756,Circular objects
fc,757,Vehicles
fc,758,Water and poles
fc,759,Edges of objects
fc,760,Items with straight features
fc,761,Buttons and keyboards of objects
fc,762,Red and white colored objects
fc,763,Edges of objects
fc,764,Items with straight features
fc,765,Poles
fc,766,Items with straight features
fc,767,Red and orange objects
fc,768,Athletes and grass
fc,769,Edges of objects
fc,770,Edges of objects
fc,771,Edges of objects
fc,772,Edges of objects
fc,773,Circular objects
fc,774,Edges of objects
fc,775,"People, clothing"
fc,776,Musical instruments
fc,777,Diagonal lines
fc,778,Rounded edges in pictures
fc,779,Red colored objects
fc,780,Sails on boats
fc,781,Signs and screens
fc,782,Electronics
fc,783,Metal objects
fc,784,Edges of objects
fc,785,People
fc,786,Edges of objects
fc,787,Round edges on objects
fc,788,Cluster of objects
fc,789,Windows
fc,790,Edges of objects
fc,791,Items with straight features
fc,792,Items with straight features
fc,793,People
fc,794,Vertical line pattern on objects
fc,795,Blue sky and hockey ice
fc,796,Faces
fc,797,Clothing
fc,798,Items with straight features
fc,799,Windows
fc,800,Windows
fc,801,Blue ocean
fc,802,Nature
fc,803,Regions with straight features
fc,804,Rounded edges in pictures
fc,805,Balls and sectioned objects
fc,806,Stripes
fc,807,Diagonal lines
fc,808,Rounded edges in pictures
fc,809,Food
fc,810,"Typewriter keys, keyboards"
fc,811,Edges of objects
fc,812,Airplanes
fc,813,Edges of objects
fc,814,Water
fc,815,Nature
fc,816,Rounded edges in pictures
fc,817,Cars
fc,818,Circular objects
fc,819,Musicians
fc,820,Vehicles and trains
fc,821,Nature
fc,822,The edges of things
fc,823,Curved lines
fc,824,Fabric
fc,825,Nature
fc,826,Round edges on objects
fc,827,Circular objects
fc,828,Circular objects
fc,829,"Train, bus"
fc,830,People
fc,831,Beds
fc,832,The tops of buildings
fc,833,Water
fc,834,People
fc,835,Nature
fc,836,Sunglasses
fc,837,Sunglasses
fc,838,White areas
fc,839,Bridges
fc,840,Items with straight features
fc,841,People
fc,842,People and water
fc,843,Items with straight features
fc,844,Edges of objects
fc,845,Items with straight features
fc,846,Vertical line pattern on objects
fc,847,Vehicles
fc,848,Electronics
fc,849,Rounded edges in pictures
fc,850,Brighter areas on objects
fc,851,"Computer screens, tis, tis"
fc,852,Green objects
fc,853,Nature
fc,854,Red curtain
fc,855,Circular objects
fc,856,Red objects
fc,857,Drapes and curtains that are red
fc,858,Items with designs
fc,859,The corners of objects
fc,860,"Store merchandise, shelves, text on a sign"
fc,861,Rounded edges in pictures
fc,862,Fire
fc,863,Items with straight features
fc,864,Vehicles
fc,865,Red and yellow objects
fc,866,Wheels of vehicles
fc,867,The sky and vehicles
fc,868,Items with circular features
fc,869,People and clothes
fc,870,Red objects
fc,871,Water
fc,872,Diagonal lines
fc,873,Arched entry way
fc,874,Buses
fc,875,Musical instruments
fc,876,People and walls
fc,877,Rectangular objects
fc,878,"Typewriter keys, keyboards"
fc,879,Red and white colored objects
fc,880,Motorcycles
fc,881,Vertical lines and hinges of objects
fc,882,Metal objects
fc,883,Rounded edges in pictures
fc,884,Arched entry way
fc,885,Clothing
fc,886,Items with straight features
fc,887,"People, clothing"
fc,888,Arches
fc,889,Dots
fc,890,Human legs
fc,891,Keyboards
fc,892,Circular objects
fc,893,Items with designs
fc,894,Furniture
fc,895,Planes and planes
fc,896,Rounded edges in pictures
fc,897,Circular objects
fc,898,Blue objects
fc,899,Rounded edges in pictures
fc,900,"Sky, water tower"
fc,901,Containers
fc,902,Edges of objects
fc,903,Faces
fc,904,Fire and grid patterns
fc,905,Windows
fc,906,Clothes
fc,907,Red and orange objects
fc,908,The sky and planes
fc,909,Food
fc,910,Rounded edges in pictures
fc,911,Similar color patterns
fc,912,Nature
fc,913,Nature
fc,914,Sails on boats
fc,915,Nature
fc,916,Text on a web page
fc,917,Words
fc,918,Items with designs
fc,919,Sign boards with text in it
fc,920,Blue skies
fc,921,Words
fc,922,Text on a menu
fc,923,Food
fc,924,Food
fc,925,Soup in bowls
fc,926,Food
fc,927,Food
fc,928,Food
fc,929,Hands of humans
fc,930,Food
fc,931,Food
fc,932,Food
fc,933,Food
fc,934,Food
fc,935,Food
fc,936,Plants and food
fc,937,Green objects
fc,938,Food
fc,939,Green areas in picture
fc,940,Food
fc,941,Food
fc,942,Food
fc,943,Green areas in picture
fc,944,Thistles and flowers
fc,945,Green areas in picture
fc,946,Thistles and flowers
fc,947,Nature
fc,948,Green colored objects
fc,949,Red areas in picture
fc,950,Orange and yellow areas
fc,951,Fruit and vegetables
fc,952,Food
fc,953,Pineapples and a couple people
fc,954,Fruit and vegetables
fc,955,Items with designs
fc,956,Fruits and vegetables
fc,957,Red areas in picture
fc,958,The ground
fc,959,Food
fc,960,Food
fc,961,Food
fc,962,Food
fc,963,Food
fc,964,Food
fc,965,Food
fc,966,Edges of objects
fc,967,Mugs and other containers
fc,968,Rounded edges in pictures
fc,969,Rounded edges in pictures
fc,970,"The sky, mountains and mountains"
fc,971,Circular objects
fc,972,Landscapes
fc,973,Aquatic life
fc,974,Nature
fc,975,Water
fc,976,Landscapes
fc,977,"Water, sky"
fc,978,Landscapes
fc,979,Landscapes
fc,980,Volcanoes and eruptions
fc,981,People 's legs
fc,982,People and flowers
fc,983,The jellyfish are in the ocean
fc,984,Landscapes
fc,985,Flowers
fc,986,Plant life
fc,987,Brighter areas on objects
fc,988,Nature
fc,989,Nature
fc,990,Edges of objects
fc,991,Aquatic life
fc,992,The brim of mushrooms or mushrooms
fc,993,Aquatic life
fc,994,Nature
fc,995,Circular objects
fc,996,Aquatic life
fc,997,Nature
fc,998,Nature
fc,999,Rounded edges in pictures
layer1,0,Purple and red objects
layer1,1,Purple areas
layer1,2,Words and grids
layer1,3,Edges of objects
layer1,4,Spots of the color white
layer1,5,Blue areas
layer1,6,Words and grids
layer1,7,Stripes
layer1,8,Green areas in picture
layer1,9,Spots of the color white
layer1,10,Red colored objects
layer1,11,Dots outlining objects
layer1,12,Spots of the color white
layer1,13,Nothing
layer1,14,Spots of the color white
layer1,15,White outlines of objects
layer1,16,Red and white lines
layer1,17,Stripes
layer1,18,Areas of blue
layer1,19,Red objects
layer1,20,Black and white lettering
layer1,21,Black and white stripes
layer1,22,Red and white colored objects
layer1,23,Spots of the color white
layer1,24,Black and white stripes
layer1,25,Red and blue dots
layer1,26,Red colored objects
layer1,27,Specific patterns
layer1,28,Red and blue objects
layer1,29,Black and white colored objects
layer1,30,Red and blue objects
layer1,31,Numbers and letters
layer1,32,Stripes
layer1,33,Brighter areas in objects
layer1,34,Numbers and letters of all objects
layer1,35,Stripes
layer1,36,Red colored objects
layer1,37,Spots of the color white
layer1,38,Fluorescent blue and green objects
layer1,39,Blue and white text
layer1,40,Spots of the color white
layer1,41,Horizontal lines
layer1,42,Vertical lines
layer1,43,Black and white colored objects
layer1,44,Spots of the color white
layer1,45,Spots of the color white
layer1,46,Spots of the color white
layer1,47,White areas
layer1,48,Dots outlining a object
layer1,49,Stripes
layer1,50,Straight lines
layer1,51,Words and grids
layer1,52,Edges of objects
layer1,53,Diagonal lines
layer1,54,Underwater
layer1,55,Black and white text
layer1,56,Stripes
layer1,57,Black and white stripes
layer1,58,Vertical lines
layer1,59,The area under lines
layer1,60,Red areas in picture
layer1,61,Stripes
layer1,62,Stripes
layer1,63,Horizontal lines
layer1,64,Stripes
layer1,65,Blue areas
layer1,66,Dots on curved objects
layer1,67,Stripes
layer1,68,White outlines of objects
layer1,69,Yellow and red objects
layer1,70,Blue areas
layer1,71,Spots of the color white
layer1,72,Black and white colored objects
layer1,73,Green areas in picture
layer1,74,White lines
layer1,75,Horizontal lines
layer1,76,Horizontal lines
layer1,77,Black and white colored objects
layer1,78,Stripes
layer1,79,The area under lines
layer1,80,Horizontal lines
layer1,81,Horizontal lines
layer1,82,Vertical lines
layer1,83,Spots of the color white
layer1,84,Spots of the color white
layer1,85,Striped patterns
layer1,86,White lines
layer1,87,The area under lines
layer1,88,The color blue
layer1,89,Red and white dots
layer1,90,Fluorescent green and blue objects
layer1,91,Horizontal lines
layer1,92,Horizontal lines
layer1,93,Red and white colored objects
layer1,94,Spots of the color white
layer1,95,Spots of the color white
layer1,96,Red areas
layer1,97,Spots of the color white
layer1,98,White lines
layer1,99,Stripes
layer1,100,White lines
layer1,101,Spots of the color white
layer1,102,The area under lines
layer1,103,Text
layer1,104,Stripes
layer1,105,Nothing
layer1,106,Dots on the corners
layer1,107,Spots of the color white
layer1,108,Blue objects
layer1,109,Stripes
layer1,110,"Purple, red and blue fluorescent objects"
layer1,111,White dots outlining objects
layer1,112,Blue areas
layer1,113,Vertical lines
layer1,114,Text
layer1,115,Stripes
layer1,116,Vertical lines
layer1,117,Spots of the color white
layer1,118,Spots of the color white
layer1,119,White dots
layer1,120,Blue and red dots
layer1,121,Dots on the bottom
layer1,122,Nothing
layer1,123,Diagonal lines
layer1,124,Stripes
layer1,125,Horizontal lines
layer1,126,Sharks
layer1,127,Spots of the color white
layer1,128,Horizontal lines
layer1,129,Stripes
layer1,130,White lines
layer1,131,Horizontal lines
layer1,132,Spots of the color white
layer1,133,Spots of the color white
layer1,134,Spots of the color white
layer1,135,Horizontal lines
layer1,136,Words and grids
layer1,137,Spots of the color white
layer1,138,White areas
layer1,139,Spots of the color white
layer1,140,Horizontal lines
layer1,141,Stripes
layer1,142,Black and white colored objects
layer1,143,Horizontal lines
layer1,144,Red objects
layer1,145,Vertical lines
layer1,146,Horizontal lines
layer1,147,Spots of the color white
layer1,148,Nothing highlighted
layer1,149,Numbers and letters of all objects
layer1,150,Yellow objects
layer1,151,White outlines of objects
layer1,152,White outlines of objects
layer1,153,Spots of the color white
layer1,154,White areas
layer1,155,Spots of the color white
