layer,unit,description
layer1,124,Black and white colored objects
layer1,125,Black and white colored objects
layer1,126,White dots
layer1,127,The outline of the object
layer1,128,Yellow and blue colored objects
layer1,129,Black and white colored objects
layer1,130,Black and white colored objects
layer1,131,White colored objects
layer1,132,White dots outlining objects
layer1,133,The top of a building
layer1,134,Yellow and blue colored objects
layer1,135,Stripes
layer1,136,White dots outlining objects
layer1,137,White dots outlining objects
layer1,138,White colored objects
layer1,139,White dots outlining objects
layer1,140,Black and white colored objects
layer1,141,Stripes
layer1,142,Black and white colored objects
layer1,143,White dots outlining objects
layer1,144,Red objects
layer1,145,Black and white colored objects
layer1,146,Yellow and blue colored objects
layer1,147,White dots outlining objects
layer1,148,The bottom of a line
layer1,149,White colored objects
layer1,150,Yellow objects
layer1,151,White dots outlining objects
layer1,152,White dots outlining objects
layer1,153,White dots outlining objects
layer1,154,White spots in pictures
layer1,155,White dots outlining objects
layer1,156,Yellow and blue colored objects
layer1,157,White spots in pictures
layer1,158,Black and white colored objects
layer1,159,Yellow objects
layer1,160,Bright yellow colored objects
layer1,161,Stripes
layer1,162,Blue colored objects
layer1,163,Yellow and blue colored objects
layer1,164,White dots outlining objects
layer1,165,Areas around items of central focus and edges
layer1,166,White outlines of black objects
layer1,167,Blue colored objects
layer1,168,Stripes
layer1,169,Striped objects
layer1,170,Black and white colored objects
layer1,171,Objects with stripes in it
layer1,172,White dots outlining objects
layer1,173,White dots outlining objects
layer1,174,White dots outlining objects
layer1,175,Striped objects
layer1,176,White dots outlining objects
layer1,177,Red and white colored objects
layer1,178,White dots outlining objects
layer1,179,Dots on poles
layer1,180,Red and white colored objects
layer1,181,Yellow and blue colored objects
layer1,182,Dots on the bottom of a line
layer1,183,The top part of objects
layer1,184,Blue colored objects
layer1,185,Stripes
layer1,186,Stripes
layer1,187,Stripes
layer1,188,The color white
layer1,189,Purple and pink objects
layer1,190,Vertical lines
layer1,191,Yellow and blue colored objects
layer1,192,Pink colored objects
layer1,193,White dots outlining objects
layer1,194,Stripes
layer1,195,Stripes
layer1,196,Diagonal white lines
layer1,197,Yellow and blue colored objects
layer1,198,Red and white colored objects
layer1,199,White dots outlining objects
layer1,200,The top part of objects
layer1,201,Black and white colored objects
layer1,202,Black and white colored objects
layer1,203,Stripes
layer1,204,Letters on a sign
layer1,205,Stripes
layer1,206,Birds in the sky
layer1,207,White dots outlining objects
layer1,208,The color white
layer1,209,Black and white colored objects
layer1,210,White dots outlining objects
layer1,211,Diagonal lines
layer1,212,Black and white colored objects
layer1,213,Yellow and blue colored objects
layer1,214,Muted
layer1,215,Yellow and blue colored objects
layer1,216,The outline of the object
layer1,217,White dots outlining objects
layer1,218,Diagonal white lines
layer1,219,Stripes
layer1,220,Yellow objects
layer1,221,The top part of objects
layer1,222,White dots outlining objects
layer1,223,Green objects
layer1,224,White dots outlining objects
layer1,225,White colored objects
layer1,226,Red objects
layer1,227,Red and white colored objects
layer1,228,Yellow objects
layer1,229,White spots in pictures
layer1,230,White dots outlining objects
layer1,231,Black and white colored objects
layer1,232,Fluorescent white backgrounds
layer1,233,Black and white colored objects
layer1,234,The left side of objects
layer1,235,Red colored object with text
layer1,236,The color white
layer1,237,Red objects
layer1,238,White dots outlining objects
layer1,239,Red and yellow objects
layer1,240,Colorful dots
layer1,241,Yellow and blue colored objects
layer1,242,Blue and purple objects
layer1,243,The color white
layer1,244,White colored objects
layer1,245,White colored objects
layer1,246,White dots outlining objects
layer1,247,White dots outlining objects
layer1,248,Space above letters on a sign
layer1,249,White dots outlining objects
layer1,250,Diagonal white lines
layer1,251,Green and blue objects
layer1,252,Vertical lines
layer1,253,Purple and pink objects
layer1,254,Black and white colored objects
layer1,255,White dots outlining objects
layer2,0,Colorful dots
layer2,1,White dots outlining objects
layer2,2,Green and brown colored objects
layer2,3,Fluorescent white areas
layer2,4,Stop signs and buildings
layer2,5,Red and blue objects
layer2,6,Black and white colored objects
layer2,7,Stop signs
layer2,8,Poles
layer2,9,White dots outlining objects
layer2,10,Bright yellow colored objects
layer2,11,Dots on the corners of objects
layer2,12,White dots outlining objects
layer2,13,White colored objects
layer2,14,Yellow and blue colored objects
layer2,15,Diagonal lines
layer2,16,Stripes
layer2,17,Cars and airplanes
layer2,18,Stop signs
layer2,19,Yellow and blue colored objects
layer2,20,Yellow and blue colored objects
layer2,21,The color yellow
layer2,22,The bottom of a building
layer2,23,White colored objects
layer2,24,Stripes
layer2,25,Yellow and green objects
layer2,26,Yellow and blue colored objects
layer2,27,The bottom of a line
layer2,28,Red and white objects
layer2,29,Dots on the corners of objects
layer2,30,Yellow and blue lines
layer2,31,Red and yellow objects
layer2,32,Yellow and blue colored objects
layer2,33,Colorful dots
layer2,34,White spots in pictures
layer2,35,Black and white colored objects
layer2,36,Stripes
layer2,37,Letters on a sign
layer2,38,Black and white colored objects
layer2,39,Red and white objects
layer2,40,Dots on the bottom of a line
layer2,41,White dots outlining objects
layer2,42,Green and brown colored objects
layer2,43,Red and blue objects
layer2,44,Bright yellow colored objects
layer2,45,The area between the line
layer2,46,Red objects
layer2,47,White dots on corners
layer2,48,The top of a circular objects
layer2,49,Dots on the bottom of objects
layer2,50,Stop signs and cars
layer2,51,Horizontal lines
layer2,52,Black and white colored objects
layer2,53,Stripes
layer2,54,Red objects
layer2,55,Poles and legs
layer2,56,Poles and legs
layer2,57,Small gaps in the sky
layer2,58,White dots and lines
layer2,59,Objects with stripes in it
layer2,60,Purple and pink objects
layer2,61,Black and white colored objects
layer2,62,Diagonal white lines
layer2,63,Yellow and blue colored objects
layer2,64,Dots on the corners
layer2,65,White dots
layer2,66,Red colored object with text
layer2,67,Dots on the corners
layer2,68,The bottom of circles
layer2,69,Dots on the bottom of a line
layer2,70,White dots in pictures
layer2,71,Horizontal lines
layer2,72,Tops of horses ears
layer2,73,The bottom of circles and circles
layer2,74,Cars and hockey
layer2,75,Red dots
layer2,76,Yellow and blue colored objects
layer2,77,Vertical lines
layer2,78,Dots on the bottom of a line
layer2,79,Stop signs
layer2,80,Yellow and blue colored objects
layer2,81,Dots on the bottom of a object
layer2,82,Red objects
layer2,83,Stripes
layer2,84,Diagonal lines
layer2,85,White dots outlining objects
layer2,86,White dots
layer2,87,Red objects
layer2,88,Red objects
layer2,89,Bright yellow colored objects
layer2,90,Pink colored objects
layer2,91,Poles
layer2,92,Yellow and blue colored objects
layer2,93,Black and white colored objects
layer2,94,Red and blue objects
layer2,95,White dots outlining objects
layer2,96,Yellow and blue colored objects
layer2,97,Yellow and blue colored objects
layer2,98,Dots on the bottom of objects
layer2,99,Blue objects
layer2,100,Colorful dots
layer2,101,White dots on corners
layer2,102,Yellow and red objects
layer2,103,Horizontal lines
layer2,104,Stop signs and flowers
layer2,105,Green colored objects
layer2,106,White dots outlining objects
layer2,107,Diagonal lines
layer2,108,The bottom of a line
layer2,109,Orange and red objects
layer2,110,The color yellow
layer2,111,The bottom of a circle
layer2,112,Objects with stripes in it
layer2,113,Dots on the corners of objects
layer2,114,Yellow and blue colored objects
layer2,115,Striped objects
layer2,116,White dots outlining objects
layer2,117,Dots on the bottom of a line
layer2,118,White dots on corners
layer2,119,Stop signs
layer2,120,White dots
layer2,121,The bottom of circles and circles
layer2,122,Colorful dots
layer2,123,Dots on the bottom of a line
layer2,124,Dots on the bottom of a line
layer2,125,Red and yellow objects
layer2,126,Hockey players
layer2,127,The color brown
layer2,128,Diagonal lines
layer2,129,Black and white colored objects
layer2,130,Stop signs
layer2,131,Dots on the bottom of circles and circles
layer2,132,Dots on the corners
layer2,133,Areas around items of central focus and edges
layer2,134,Striped objects
layer2,135,Black and white colored objects
layer2,136,Diagonal lines
layer2,137,Objects with stripes in it
layer2,138,Colorful items
layer2,139,Dots on the bottom of a object
layer2,140,White dots outlining objects
layer2,141,Yellow and blue colored objects
layer2,142,White dots outlining objects
layer2,143,Objects with stripes in it
layer2,144,Black and white colored objects
layer2,145,Blue objects
layer2,146,Bright yellow colored objects
layer2,147,Dots on the bottom of a line
layer2,148,Orange and yellow objects
layer2,149,Stripes
layer2,150,White dots outlining objects
layer2,151,Bright yellow colored objects
layer2,152,Stop signs
layer2,153,Striped objects
layer2,154,Red and blue objects
layer2,155,Stripes
layer2,156,Red dots
layer2,157,The outline of the object
layer2,158,Diagonal lines
layer2,159,Dots on the bottom of a object
layer2,160,White dots on corners
layer2,161,Dots on the corners
layer2,162,Striped objects
layer2,163,Vertical lines
layer2,164,Vertical lines
layer2,165,The color yellow
layer2,166,Yellow and blue colored objects
layer2,167,The left side of objects
layer2,168,The bottom of circles and circles
layer2,169,The outline of the object
layer2,170,Plants
layer2,171,Striped objects
layer2,172,White spots in pictures
layer2,173,Green colored objects
layer2,174,Yellow and blue colored objects
layer2,175,The top of a circular objects
layer2,176,Diagonal lines
layer2,177,The bottom of a line
layer2,178,Orange and red objects
layer2,179,Dots on the corners
layer2,180,Yellow and blue colored objects
layer2,181,Dots on the bottom of a line
layer2,182,Dots on the corners of objects
layer2,183,Green dots
layer2,184,Diagonal lines
layer2,185,Colorful dots
layer2,186,Yellow lines
layer2,187,Bright yellow colored objects
layer2,188,Red objects
layer2,189,White dots outlining objects
layer2,190,Colorful dots
layer2,191,Dots on the bottom of a line
layer2,192,The right side of a object
layer2,193,Yellow and blue colored objects
layer2,194,People skating
layer2,195,White dots
layer2,196,The outline of the object
layer2,197,Stop signs and laundromats
layer2,198,Yellow and blue colored objects
layer2,199,Purple and pink objects
layer2,200,Stripes
layer2,201,Diagonal lines
layer2,202,Stripes and checkers
layer2,203,Yellow and blue dots
layer2,204,The outline of the object
layer2,205,Diagonal lines
layer2,206,Poles
layer2,207,Horizontal lines
layer2,208,White dots outlining objects
layer2,209,White dots outlining objects
layer2,210,Diagonal lines
layer2,211,Dots on the bottom of a object
layer2,212,Vertical lines
layer2,213,Yellow objects
layer2,214,Red and yellow objects
layer2,215,White dots on the corners
layer2,216,White dots outlining objects
layer2,217,The color white
layer2,218,The outline of the object
layer2,219,White dots
layer2,220,White dots outlining objects
layer2,221,Dots on the bottom of objects
layer2,222,Green colored objects
layer2,223,Black and white colored objects
layer2,224,Dots on the bottom of a object
layer2,225,Cars and airplanes
layer2,226,Dots on the bottom of a line
layer2,227,People skating
layer2,228,Poles and legs
layer2,229,Dots on the bottom of a object
layer2,230,The bottom of circles and circles
layer2,231,Letters on a sign
layer2,232,Dots on the bottom of a line
layer2,233,Orange and yellow objects
layer2,234,Yellow and red spots of objects
layer2,235,Red and yellow objects
layer2,236,Circular objects
layer2,237,The bottom of circles and circles
layer2,238,Stripes
layer2,239,Stripes
layer2,240,Red colored object with text
layer2,241,Stop signs
layer2,242,Dots on the corners
layer2,243,White spots in pictures
layer2,244,Dots on poles
layer2,245,The left side of a line
layer2,246,Black and white colored objects
layer2,247,The bottom of a circle
layer2,248,Dots on the bottom of a line
layer2,249,Yellow objects
layer2,250,Diagonal lines
layer2,251,Yellow objects
layer2,252,Diagonal lines
layer2,253,Red and yellow dots
layer2,254,Yellow and blue colored objects
layer2,255,Colorful dots
layer2,256,Horizontal lines
layer2,257,White dots outlining objects
layer2,258,Dots on the corners of objects
layer2,259,Windows
layer2,260,Diagonal lines
layer2,261,The bottom of circles
layer2,262,Yellow and blue colored objects
layer2,263,Cars and airplanes
layer2,264,The bottom of circles and circles
layer2,265,Black and white colored objects
layer2,266,Horizontal lines
layer2,267,Red and white colored objects
layer2,268,Red objects
layer2,269,The color white
layer2,270,Areas around items of central focus and edges
layer2,271,Stop signs and cars
layer2,272,Bright yellow colored objects
layer2,273,Yellow and blue colored objects
layer2,274,Diagonal white lines
layer2,275,Red dots
layer2,276,Poles
layer2,277,Diagonal lines
layer2,278,The left side of a line
layer2,279,Dots on the bottom of a line
layer2,280,Vertical lines
layer2,281,Red and yellow objects
layer2,282,Poles
layer2,283,White dots
layer2,284,Cars and ice
layer2,285,Green and blue objects
layer2,286,Stripes
layer2,287,Dots on the bottom of a line
layer2,288,Stripes
layer2,289,Black and white colored objects
layer2,290,Green and brown colored objects
layer2,291,Colorful dots
layer2,292,White dots outlining objects
layer2,293,Diagonal lines
layer2,294,Stripes
layer2,295,Stripes
layer2,296,White dots outlining objects
layer2,297,Bright yellow colored objects
layer2,298,Red dots
layer2,299,Dots on curved objects
layer2,300,The top of a circular objects
layer2,301,Red and white objects
layer2,302,Red and white objects
layer2,303,Areas around items of central focus and edges
layer2,304,Poles
layer2,305,Diagonal lines
layer2,306,The sky
layer2,307,Top of building units
layer2,308,Striped objects
layer2,309,Blue and purple objects
layer2,310,Vertical lines
layer2,311,Objects with stripes in it
layer2,312,Bright yellow colored objects
layer2,313,Areas around items of central focus and edges
layer2,314,Red and blue objects
layer2,315,Red and white colored objects
layer2,316,The bottom of a line
layer2,317,Green dots
layer2,318,Pink colored objects
layer2,319,The right side
layer2,320,The bottom of circles and circles
layer2,321,The right side
layer2,322,Vertical lines
layer2,323,Vertical lines
layer2,324,Objects with stripes in it
layer2,325,White colored objects
layer2,326,Vertical lines
layer2,327,Stop signs and cars
layer2,328,White dots on the corners
layer2,329,White colored objects
layer2,330,Dots on the corners of objects
layer2,331,Dots on the corners of objects
layer2,332,Bright yellow colored objects
layer2,333,Green and blue objects
layer2,334,White dots on corners
layer2,335,Red and blue dots
layer2,336,Black and white colored objects
layer2,337,Yellow and blue colored objects
layer2,338,The bottom of circles and circles
layer2,339,Stop signs and buildings
layer2,340,Colorful dots
layer2,341,Dots on the corners of objects
layer2,342,Dots on the bottom of objects
layer2,343,Poles and legs
layer2,344,People in the olympics
layer2,345,Dots on the bottom of a object
layer2,346,Yellow and blue colored objects
layer2,347,People in the olympics
layer2,348,The bottom of a circle
layer2,349,Black and white colored objects
layer2,350,Dots on poles
layer2,351,Striped objects
layer2,352,Diagonal lines
layer2,353,Stop signs and people
layer2,354,The color yellow
layer2,355,Diagonal lines
layer2,356,White dots outlining objects
layer2,357,Green colored objects
layer2,358,The color red
layer2,359,Diagonal white lines
layer2,360,White dots outlining objects
layer2,361,Edges of people
layer2,362,Yellow and blue colored objects
layer2,363,Purple and pink objects
layer2,364,Yellow and blue colored objects
layer2,365,Stripes
layer2,366,Cars and hockey
layer2,367,Stripes
layer2,368,Black and white colored objects
layer2,369,Diagonal lines
layer2,370,Black and white colored objects
layer2,371,Dots on the corners
layer2,372,White dots outlining objects
layer2,373,Stop signs and buildings
layer2,374,Black and white colored objects
layer2,375,Striped objects
layer2,376,Dots on the corners of objects
layer2,377,White dots on corners
layer2,378,Black and white colored objects
layer2,379,Dots on the corners of objects
layer2,380,The bottom of circles
layer2,381,Dots on the bottom of a line
layer2,382,Red and white colored objects
layer2,383,Colorful dots
layer2,384,Dots on the corners of objects
layer2,385,Black and white colored objects
layer2,386,Bright yellow colored objects
layer2,387,Red objects
layer2,388,Vertical lines
layer2,389,White dots on corners
layer2,390,White spots in pictures
layer2,391,Diagonal lines
layer2,392,Green objects
layer2,393,Bright lights
layer2,394,Orange and red objects
layer2,395,Red dots
layer2,396,White dots on holes
layer2,397,Dots on the bottom of a line
layer2,398,Dots on the corners of objects
layer2,399,Yellow and blue colored objects
layer2,400,Yellow and blue colored objects
layer2,401,The color yellow
layer2,402,Diagonal lines on objects
layer2,403,Black and white colored objects
layer2,404,Green colored objects
layer2,405,Yellow and blue colored objects
layer2,406,The bottom of a object
layer2,407,Dots on the corners of objects
layer2,408,Vertical lines
layer2,409,Yellow and blue colored objects
layer2,410,Black and white colored objects
layer2,411,White dots outlining objects
layer2,412,Stop signs
layer2,413,Stripes
layer2,414,The outline of the object
layer2,415,Dots on the corners of objects
layer2,416,Areas around items of central focus and edges
layer2,417,Cars and ice
layer2,418,Colorful items
layer2,419,Orange and red objects
layer2,420,The right side
layer2,421,Black and white colored objects
layer2,422,Stripes
layer2,423,White dots outlining objects
layer2,424,White dots on faces and other circles
layer2,425,Stop signs
layer2,426,Red and white colored objects
layer2,427,Bright yellow colored objects
layer2,428,Diagonal white lines
layer2,429,The left side of objects
layer2,430,Red and white colored objects
layer2,431,White dots on corners
layer2,432,Horizontal lines
layer2,433,Black and white colored objects
layer2,434,Yellow and blue colored objects
layer2,435,Black and white colored objects
layer2,436,Vertical lines
layer2,437,Diagonal lines
layer2,438,The left side of objects
layer2,439,The left side of circles
layer2,440,White colored objects
layer2,441,Black and white colored objects
layer2,442,Red objects
layer2,443,Colorful dots
layer2,444,Top of a building
layer2,445,Poles and legs
layer2,446,Areas around items of central focus and edges
layer2,447,The bottom of a line
layer2,448,Dots on the bottom of a object
layer2,449,Poles and legs
layer2,450,The right side
layer2,451,White dots outlining objects
layer2,452,Diagonal lines
layer2,453,The bottom of circles and circles
layer2,454,Bright yellow colored objects
layer2,455,Diagonal lines
layer2,456,Yellow and blue colored objects
layer2,457,Stop signs
layer2,458,Green dots
layer2,459,White dots
layer2,460,Stripes
layer2,461,Red and white objects
layer2,462,Yellow and blue colored objects
layer2,463,Space above letters on a sign
layer2,464,Blue and red dots
layer2,465,Dots on the corners of objects
layer2,466,Black and white colored objects
layer2,467,Yellow and blue colored objects
layer2,468,Red objects
layer2,469,The right side of a line
layer2,470,White dots outlining objects
layer2,471,Yellow and red spots in pictures
layer2,472,Red objects
layer2,473,Dots on lights
layer2,474,Red and white objects
layer2,475,Dots on the bottom of a object
layer2,476,Areas around items of central focus and edges
layer2,477,Striped objects
layer2,478,Stripes
layer2,479,The bottom of a circle
layer2,480,Poles and legs
layer2,481,Dots on the bottom of a line
layer2,482,Stripes
layer2,483,White dots outlining objects
layer2,484,Vertical lines
layer2,485,Bright lights
layer2,486,Yellow and blue colored objects
layer2,487,White dots
layer2,488,Colorful dots
layer2,489,Diagonal and curved lines
layer2,490,Red and white objects
layer2,491,White dots outlining objects
layer2,492,Yellow and red dots
layer2,493,Dots on the bottom of a object
layer2,494,Blue objects
layer2,495,Dots on the bottom of objects
layer2,496,Dots on poles
layer2,497,Black and white colored objects
layer2,498,Bright yellow colored objects
layer2,499,Yellow and blue colored objects
layer2,500,Diagonal lines
layer2,501,Fluorescent yellow and blue objects
layer2,502,Diagonal lines
layer2,503,Yellow and blue colored objects
layer2,504,White dots outlining objects
layer2,505,Stripes and checkers
layer2,506,Red and white objects
layer2,507,Yellow and blue colored objects
layer2,508,Stripes
layer2,509,Cars and airplanes
layer2,510,Dots on the corners of objects
layer2,511,Orange and yellow objects
layer3,0,Black and white colored objects
layer3,1,Circular shaped objects
layer3,2,Curved objects
layer3,3,Diagonal lines
layer3,4,Circular objects
layer3,5,Arches and animals
layer3,6,Animals
layer3,7,Diagonal lines
layer3,8,Face of the people
layer3,9,Circular objects
layer3,10,Circular objects
layer3,11,Mobile
layer3,12,Animals
layer3,13,Circular items
layer3,14,Bright yellow colored objects
layer3,15,Black and white colored objects
layer3,16,Flowers and flowers
layer3,17,Circular objects
layer3,18,Black and white colored objects
layer3,19,Balls and grass
layer3,20,People
layer3,21,Top of a building
layer3,22,Black and white colored objects
layer3,23,Space above the sky
layer3,24,People
layer3,25,Brown colored objects
layer3,26,Green and yellow filters
layer3,27,Black and white colored objects
layer3,28,Circular objects
layer3,29,Green objects
layer3,30,People and animals
layer3,31,Circular objects
layer3,32,Cylindrical objects
layer3,33,Diagonal lines
layer3,34,Circular objects
layer3,35,Furniture
layer3,36,Cars
layer3,37,Green and brown colored objects
layer3,38,Red objects
layer3,39,"Animal, animal"
layer3,40,Diagonal lines
layer3,41,Items of central focus
layer3,42,People and animals
layer3,43,Top of a building
layer3,44,Legs
layer3,45,Black and white colored objects
layer3,46,Circular objects
layer3,47,Dogs and animals
layer3,48,"Food, people, clam"
layer3,49,Yellow and red objects
layer3,50,Circular objects
layer3,51,Diagonal lines
layer3,52,Circular objects
layer3,53,Horizontal lines
layer3,54,Diagonal lines
layer3,55,Diagonal lines
layer3,56,"Trees, people"
layer3,57,Circular objects
layer3,58,Faces
layer3,59,Cars
layer3,60,Circular objects
layer3,61,Items of central focus
layer3,62,Edges of things
layer3,63,Diagonal lines
layer3,64,Circular objects
layer3,65,People
layer3,66,Animals
layer3,67,Diagonal lines
layer3,68,Circular objects
layer3,69,Circular shapes
layer3,70,Circular objects
layer3,71,Green colored objects
layer3,72,Circular objects
layer3,73,Red objects
layer3,74,The sky
layer3,75,Circular objects
layer3,76,Black and white colored objects
layer3,77,Black and white colored objects
layer3,78,Signs and signs
layer3,79,Bright yellow colored things
layer3,80,Items of central focus
layer3,81,Cylindrical objects
layer3,82,White colored objects
layer3,83,Items of central focus
layer3,84,Circular items
layer3,85,Yellow and blue colored objects
layer3,86,Cylindrical objects
layer3,87,Objects with stripes in it
layer3,88,Top of a building
layer3,89,Black and white colored objects
layer3,90,Yellow and blue colored objects
layer3,91,Circular objects
layer3,92,Ice cream and flowers
layer3,93,Circular objects
layer3,94,Red objects
layer3,95,Animals and animals
layer3,96,Curved objects
layer3,97,Yellow and green objects
layer3,98,People
layer3,99,Circular objects
layer3,100,Blue objects
layer3,101,Poles and legs
layer3,102,People
layer3,103,Black and white colored objects
layer3,104,Circular objects
layer3,105,People
layer3,106,Circular objects
layer3,107,Horses and circular shaped
layer3,108,The sky and ceilings
layer3,109,Legs
layer3,110,Cylindrical objects
layer3,111,The sky
layer3,112,Cars
layer3,113,Yellow and blue colored objects
layer3,114,Black and white colored objects
layer3,115,Circular objects
layer3,116,Curved objects
layer3,117,The bottom of a circle
layer3,118,Circular objects
layer3,119,Black and white colored objects
layer3,120,Animals
layer3,121,Balls and mma fighters
layer3,122,Lights
layer3,123,Circular objects
layer3,124,White colored objects
layer3,125,Circular objects
layer3,126,Circular objects
layer3,127,Black and white colored objects
layer3,128,"Animals, people"
layer3,129,Circular objects
layer3,130,Curved objects
layer3,131,Diagonal lines
layer3,132,Blue objects
layer3,133,Circular objects
layer3,134,Areas around items of central focus and edges
layer3,135,Circular objects
layer3,136,Circular objects
layer3,137,Bright yellow colored objects
layer3,138,Bright yellow colored objects
layer3,139,Red and white colored objects
layer3,140,Green objects
layer3,141,Animals
layer3,142,Black and white colored objects
layer3,143,Roofs and pizza
layer3,144,Plants
layer3,145,Yellow and blue colored objects
layer3,146,Circular shaped objects
layer3,147,Circular objects
layer3,148,Circular objects
layer3,149,Dogs and animals
layer3,150,Circular objects
layer3,151,People
layer3,152,Red objects
layer3,153,Circular objects
layer3,154,Poles and legs
layer3,155,Circular objects
layer3,156,Circular objects
layer3,157,The sky
layer3,158,Yellow and green objects
layer3,159,Circular objects
layer3,160,The sky
layer3,161,Red objects
layer3,162,Pink and purple objects
layer3,163,Plants
layer3,164,This are fishes
layer3,165,The sky and people
layer3,166,Circular objects
